,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3875,-0.5124,9.9832,-0.3827,-0.5079,9.786,0.0026,-0.0013,0.0089,0.0008,0,-0.0008,30,21.91,5.07,-5.96,282.04,2.97,2.24,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,21,2018-07-31 17:23:18:715
-0.3947,-0.5292,9.9808,-0.3875,-0.508,9.7858,-0.0032,-0.0044,-0.0001,0.0008,0,0.0003,30,22.43,5.07,-6.26,282.04,2.96,2.26,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,521,2018-07-31 17:23:19:215
-0.3851,-0.516,9.9808,-0.3851,-0.5059,9.786,0.0069,-0.0004,0.0024,0.0008,0,0.0003,30,23.14,5.38,-6.85,281.42,2.96,2.25,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,1021,2018-07-31 17:23:19:715
-0.3971,-0.5244,9.9641,-0.3817,-0.5072,9.7861,0.0047,0.0009,0.002,0.0008,0,-0.0008,30,22.65,6.56,-5.94,286.26,2.97,2.24,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,1520,2018-07-31 17:23:20:214
-0.3923,-0.5136,9.9832,-0.383,-0.507,9.786,-0.003,0.0004,0.0004,0.0008,0,-0.0008,30,23.17,6.26,-6.24,283.91,2.97,2.24,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,2021,2018-07-31 17:23:20:715
-0.3959,-0.5268,9.9677,-0.3816,-0.5086,9.786,-0.0041,-0.0041,0.0033,0.0008,0,0.0003,30,22.47,6.28,-6.83,284.43,2.97,2.23,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,2521,2018-07-31 17:23:21:215
-0.3995,-0.51,9.976,-0.3858,-0.506,9.786,-0.0063,0.0014,0.005,0.0008,0,0.0014,30,22.29,6.28,-7.12,284.43,2.96,2.25,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,3023,2018-07-31 17:23:21:717
-0.3911,-0.516,9.976,-0.3834,-0.5079,9.786,0.0033,-0.0053,-0.0079,0.0008,0,-0.0008,30,23.51,6.3,-8.6,283.05,2.97,2.25,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,3521,2018-07-31 17:23:22:215
-0.3923,-0.5148,9.9808,-0.3863,-0.5071,9.7859,-0.0025,0.0031,0.0077,0.0008,0.0011,0.0003,30,22.64,6.28,-7.12,283.81,2.97,2.26,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,4021,2018-07-31 17:23:22:715
-0.3887,-0.522,9.9808,-0.3842,-0.5079,9.7859,0.0056,-0.0015,0.0003,0.0008,0,-0.0008,30,22.6,5.09,-7.14,281.41,2.97,2.25,2,0,12.922577,77.6835,0,2880.29748764577,0,76.02903,0,0 / 0,4521,2018-07-31 17:23:23:215
