sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.1553;2.9484;8.6069;-0.0251;3.9616;8.9708;-0.7944;-0.5573;-0.5054;0.5396;-0.2319;0.6941;120.0;20.59;-12.86;-5.06;244.64;-22.62;1.26;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;22;2018-07-31 17:48:40:358
3.4635;4.6299;6.6301;2.4725;4.3796;8.4188;0.308;0.2958;-1.4635;-0.3073;-1.784;0.5492;120.0;16.34;-17.12;-14.27;239.81;-26.53;-16.37;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;522;2018-07-31 17:48:40:858
7.0672;-4.0179;-12.0167;3.5306;-4.742;-7.8242;3.9759;0.4607;-4.4654;2.441;-1.9097;-1.266;30.0;-6.08;-24.74;17.32;176.23;25.43;-154.21;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;1022;2018-07-31 17:48:41:358
-2.2035;-2.5726;8.846;-3.8943;4.8437;7.5858;1.7276;-8.7683;4.8087;-1.3023;-1.2599;-5.1287;80.0;7.12;-25.03;11.62;204.72;-29.6;27.17;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;1522;2018-07-31 17:48:41:858
10.5312;4.914;1.3533;3.0015;8.3141;-4.2471;6.2038;-7.9138;15.1291;3.681;-5.5476;-3.2538;80.0;-20.76;-16.54;-13.46;252.57;-57.97;-144.75;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;2022;2018-07-31 17:48:42:358
9.1929;-36.362;-18.0672;8.1024;-3.2658;-4.456;1.2851;-35.8392;-15.7591;0.2072;4.6758;-11.6012;0.0;20.6;-0.81;20.86;92.31;36.83;-136.27;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;2522;2018-07-31 17:48:42:858
8.9451;-39.1381;22.5037;6.9749;4.687;5.055;10.0002;-41.7454;19.7512;2.8672;-9.3271;-17.5305;80.0;-8.96;20.16;-15.5;349.91;0.24;-40.49;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;3023;2018-07-31 17:48:43:359
1.5829;-40.158;-21.3042;7.3459;-3.9815;-5.1337;-4.5731;-36.0693;1.6747;3.7364;7.2036;-11.7727;30.0;16.03;-11.77;18.91;150.73;33.19;169.46;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;3523;2018-07-31 17:48:43:859
-0.3504;-3.8966;6.2099;-3.488;7.2241;5.6406;4.2098;-7.086;1.1551;-3.5521;0.1537;-4.0751;120.0;26.37;-12.24;8.51;262.19;-47.45;31.73;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;4022;2018-07-31 17:48:44:358
12.8225;-3.6273;8.6688;7.9066;3.2491;4.8062;5.2561;-11.7496;6.7593;1.1297;-1.3473;-4.8112;80.0;-11.68;21.66;-2.99;9.61;-10.37;-57.01;2.0;0.0;12.922578;77.6835;0.0;2880.267049981681;0.0;76.46129;0.0;0 / 0;4522;2018-07-31 17:48:44:858
