sep=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5432,2.0614,5.6437,-0.2864,2.5329,9.4696,0.0595,-0.7153,-2.6442,0.0944,-0.3505,-0.7697,0,0.92,34.26,-14.55,359.28,-14.81,2.06,2,52.721,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,33,2018-08-03 20:47:12:853
-0.9873,1.4149,7.9841,-0.0948,2.7909,9.4007,-0.1862,-0.5915,0.0377,0.0348,-0.0576,0.0771,0,0.47,37.25,-14.79,0.28,-16.51,0.74,2,50.398,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,533,2018-08-03 20:47:13:353
0.4612,1.8854,9.0758,-0.0441,2.658,9.4395,-0.1503,0.2925,3.0282,0.0784,0.5603,-0.2222,0,-5.64,39.36,-13.24,7.95,-15.6,-1.15,2,47.683,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,1032,2018-08-03 20:47:13:852
-1.6038,1.3012,10.8284,0.2945,2.4653,9.4871,-0.1467,0.3053,3.4318,0.283,-1.3338,0.2827,0,-8.52,37.27,-12.08,12.5,-14.56,-1.78,2,49.046,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,1533,2018-08-03 20:47:14:353
0.2445,1.2773,8.9118,-1.1374,2.9068,9.2966,3.3796,-0.6925,3.6259,-0.2454,2.873,-0.0347,0,0.57,35.53,-18.07,358.96,-17.98,0.88,2,51.296,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,2032,2018-08-03 20:47:14:852
-3.6185,3.0633,14.4927,-2.1337,2.6347,9.202,-2.4576,1.6088,0.6358,-0.288,-1.599,-0.0336,0,-8.29,34.39,-17.45,17.58,-15.59,13.05,2,53.563,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,2534,2018-08-03 20:47:15:354
1.4093,5.0565,9.6169,0.813,4.2451,8.8028,0.4582,0.2497,0.3703,0.2904,0.0426,-0.4257,0,-8.26,29.99,-21.37,9.15,-24.9,-5.75,2,53.704,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,3033,2018-08-03 20:47:15:853
-0.5049,5.2768,10.5662,0.7338,4.3485,8.7591,-0.1896,1.3902,-0.2417,-0.402,0.4591,-0.1242,0,-14.57,26.53,-24.65,17.97,-26.98,-7.24,2,54.715,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,3532,2018-08-03 20:47:16:352
1.3818,4.5693,8.9908,1.2307,4.1294,8.8093,0.176,0.0552,-0.3217,0.153,-0.3388,-0.2595,0,-11.5,27.93,-21.39,14.82,-24.47,-7.41,2,57.348,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,4032,2018-08-03 20:47:16:852
4.5146,2.7509,10.5327,5.1975,1.5281,8.1744,-4.3861,1.5087,-2.7973,-1.7261,-0.7468,1.1264,0,-20.1,31.52,-3.56,23.74,-13.39,-30.99,2,59.345,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,4532,2018-08-03 20:47:17:352
3.6096,-0.4621,1.2552,7.4283,2.0875,6.0526,-3.6973,-1.0854,-6.7359,-0.3338,-1.2645,-0.4438,0,-9.24,35.09,-7.39,1.3,-11.97,-47.94,2,59.684,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,5032,2018-08-03 20:47:17:852
11.8935,-3.6823,-0.7655,5.7295,-7.4515,-2.7962,6.1481,4.2933,-0.3738,-0.3296,0.6199,1.1179,0,24.14,26.94,-1.24,13.51,45.58,-112.86,2,54.22,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,5533,2018-08-03 20:47:18:353
5.7045,-6.7505,-1.667,9.7238,-0.4927,-1.1731,-3.6565,-6.6667,-0.5631,-0.3082,1.5851,-2.9354,0,-1.62,40.56,-0.84,358.27,2.88,-96.88,2,51.222,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,6032,2018-08-03 20:47:18:852
11.6517,-4.9956,-6.095,4.8503,-8.463,-1.0115,4.8244,4.5133,-10.4059,1.2055,-0.1833,1.8476,0,13.51,20.72,-28.46,319.1,55.85,-102.43,2,52.708,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,6533,2018-08-03 20:47:19:353
5.5381,-6.1532,1.3784,1.9674,-8.4504,4.5706,3.1733,4.0161,-5.0794,0.6569,1.9696,-1.4302,0,30.71,2.25,-22.4,260,62,-22.5,0,58.179,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,7033,2018-08-03 20:47:19:853
2.0797,-2.8264,-0.27,7.4436,-6.2436,-1.334,-4.0812,0.9513,2.5742,-0.5298,-0.6914,-0.4459,0,12.84,30.58,-14.69,338.59,40.52,-97.97,0,54.135,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,7533,2018-08-03 20:47:20:353
2.9536,-26.2848,4.862,2.0982,-9.4522,1.5569,-3.6314,-4.4151,3.6602,2.7267,-0.456,2.3089,0,31.01,12.71,-67.1,261.33,74.55,-53.42,0,59.762,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,8032,2018-08-03 20:47:20:852
-1.3105,-1.3803,2.8257,2.2001,-9.1199,-2.8563,-2.3303,2.2341,4.606,-1.1764,-0.7788,-0.5162,0,35.58,21.24,-63.54,348.6,70.85,-138.8,0,60.888,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,8533,2018-08-03 20:47:21:353
-2.8691,-8.1882,0.2963,0.2881,-9.7976,0.3081,3.8489,-7.228,2.2701,2.1301,0.8085,-0.48,0,31.71,11.6,-71.96,20.07,86.77,-176.25,0,55.713,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,9032,2018-08-03 20:47:21:852
1.2717,-6.7002,2.2368,1.4932,-9.4444,-2.1782,0.4153,-4.7825,2.9642,-1.6164,-1.3487,-0.9391,0,39.62,21.29,-67.4,356.53,74.38,-145.57,0,50.218,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,9532,2018-08-03 20:47:22:352
-0.6593,-7.5933,-1.1007,0.2059,-9.7964,-0.3981,6.7053,-3.8154,0.9102,2.0652,1.4263,-0.1018,0,37.04,18.68,-70.38,12.24,78.05,-164.72,0,51.868,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,10033,2018-08-03 20:47:22:853
-0.0966,-7.3658,0.0209,1.0961,-9.5053,-2.1491,-0.9996,-7.2125,3.6814,-1.8262,-0.2823,-0.8443,0,45.03,24.14,-63.24,6.81,79.79,-151.54,0,50.103,12.924192,77.68568,0,2881.76449388159,0,137.09677,0,0 / 0,10535,2018-08-03 20:47:23:355
